time,price,type,confidence,reason
2020-01-10 14:00:00,7978.65,ENTER_LONG,70,"Price pulled back to 50 SMA in uptrend, Recent swing low confirmed, High volume confirmation (1.41x average), Volatility expansion after contraction (confirmed on 1h/4h)"
2020-01-11 14:00:00,8053.75,EXIT_LONG,90,Bearish MACD divergence detected
2020-01-11 23:00:00,8020.01,ENTER_LONG,75,"Price pulled back to 50 SMA in uptrend, Oversold RSI (39.56) in uptrend, High volume confirmation (1.35x average), Volatility expansion after contraction (confirmed on 1h/4h)"
2020-01-12 06:00:00,8083.84,EXIT_LONG,90,Bearish MACD divergence detected
2020-01-12 17:00:00,8101.47,ENTER_LONG,70,"Price pulled back to 50 SMA in uptrend, Recent swing low confirmed, High volume confirmation (2.30x average), Volatility expansion after contraction (confirmed on 1h/4h)"
2020-01-14 02:00:00,8431.14,EXIT_LONG,90,RSI reversal from overbought levels (RSI: 85.35)
2020-01-16 11:00:00,8724.91,ENTER_LONG,65,"Price pulled back to 50 SMA in uptrend, Oversold RSI (39.11) in uptrend, Recent swing low confirmed (confirmed on 1h/4h)"
2020-01-17 18:00:00,8920.12,EXIT_LONG,90,Bearish MACD divergence detected
2020-01-18 13:00:00,8919.97,ENTER_LONG,70,"Price pulled back to 50 SMA in uptrend, High volume confirmation (1.37x average), Price rejection from 20 SMA support, Volatility expansion after contraction (confirmed on 1h/4h)"
2020-01-18 23:00:00,8915.96,EXIT_LONG,90,Bearish MACD divergence detected
2020-01-21 20:00:00,8718.71,ENTER_LONG,100,"Price pulled back to 50 SMA in uptrend, Recent swing low confirmed, High volume confirmation (3.75x average), MACD bullish crossover signaling trend resumption, Price rejection from 20 SMA support, Volatility expansion after contraction (confirmed on 1h/4h)"
2020-01-26 19:00:00,8569.1,EXIT_LONG,90,RSI reversal from overbought levels (RSI: 81.06)
2020-01-30 00:00:00,9278.29,ENTER_LONG,90,"Price pulled back to 50 SMA in uptrend, Oversold RSI (36.51) in uptrend, Recent swing low confirmed, High volume confirmation (1.64x average), Volatility expansion after contraction (confirmed on 1h/4h)"
2020-01-30 07:00:00,9391.02,EXIT_LONG,90,Bearish MACD divergence detected
2020-01-30 16:00:00,9370.93,ENTER_LONG,75,"Price pulled back to 50 SMA in uptrend, Recent swing low confirmed, High volume confirmation (4.03x average), Price rejection from 20 SMA support (confirmed on 1h/4h)"
2020-02-03 01:00:00,9510.76,EXIT_LONG,90,Bearish MACD divergence detected
2020-02-07 12:00:00,9755.88,ENTER_LONG,70,"Price pulled back to 50 SMA in uptrend, Recent swing low confirmed, High volume confirmation (1.57x average), Volatility expansion after contraction (confirmed on 1h/4h)"
2020-02-07 22:00:00,9810.88,EXIT_LONG,90,Bearish MACD divergence detected
2020-02-08 13:00:00,9793.51,ENTER_LONG,85,"Price pulled back to 50 SMA in uptrend, Recent swing low confirmed, High volume confirmation (2.40x average), Price rejection from 20 SMA support, Volatility expansion after contraction (confirmed on 1h/4h)"
2020-02-09 05:00:00,10099.99,EXIT_LONG,90,RSI reversal from overbought levels (RSI: 84.65)
2020-02-10 06:00:00,9955.91,ENTER_LONG,90,"Price pulled back to 50 SMA in uptrend, Oversold RSI (37.73) in uptrend, Recent swing low confirmed, High volume confirmation (3.04x average), Volatility expansion after contraction (confirmed on 1h/4h)"
2020-02-11 18:00:00,10206.22,EXIT_LONG,90,RSI reversal from overbought levels (RSI: 82.58)
2020-02-13 09:00:00,10166.97,ENTER_LONG,75,"Price pulled back to 50 SMA in uptrend, Oversold RSI (37.38) in uptrend, High volume confirmation (1.96x average), Volatility expansion after contraction (confirmed on 1h/4h)"
2020-02-19 04:00:00,10111.65,EXIT_LONG,90,RSI reversal from overbought levels (RSI: 81.18)
2020-02-21 09:00:00,9659.91,ENTER_LONG,70,"Price pulled back to 50 SMA in uptrend, Recent swing low confirmed, Price rejection from 20 SMA support, Volatility expansion after contraction (confirmed on 1h/4h)"
2020-02-23 07:00:00,9880.7,EXIT_LONG,90,RSI reversal from overbought levels (RSI: 84.04)
2020-02-24 02:00:00,9741.09,ENTER_SHORT,85,"Price pulled back to 50 SMA in downtrend, Recent swing high confirmed, High volume confirmation (3.38x average), Price rejection from 20 SMA resistance, Volatility expansion after contraction (confirmed on 1h/4h)"
2020-02-25 14:00:00,9404.87,EXIT_SHORT,90,Bullish MACD divergence detected
2020-02-29 21:00:00,8634.58,ENTER_SHORT,70,"Price pulled back to 50 SMA in downtrend, Recent swing high confirmed, MACD bearish crossover signaling trend resumption, Volatility expansion after contraction (confirmed on 1h/4h)"
2020-03-01 16:00:00,8522.3,EXIT_SHORT,90,Bullish MACD divergence detected
2020-03-03 16:00:00,8698.95,ENTER_SHORT,70,"Price pulled back to 50 SMA in downtrend, Recent swing high confirmed, High volume confirmation (1.71x average), Volatility expansion after contraction (confirmed on 1h/4h)"
2020-03-08 03:00:00,8747.58,EXIT_SHORT,90,RSI reversal from oversold levels (RSI: 17.40)
2020-03-13 15:00:00,5212.37,ENTER_SHORT,65,"Overbought RSI (66.59) in downtrend, Recent swing high confirmed, High volume confirmation (1.42x average), Price rejection from 20 SMA resistance (confirmed on 1h/4h)"
2020-03-13 18:00:00,4985.34,EXIT_SHORT,90,Bullish MACD divergence detected
2020-03-18 16:00:00,5199.59,ENTER_SHORT,90,"Price pulled back to 50 SMA in downtrend, Recent swing high confirmed, High volume confirmation (1.92x average), MACD bearish crossover signaling trend resumption, Price rejection from 20 SMA resistance (confirmed on 1h/4h)"
2020-03-19 16:00:00,6164.03,EXIT_SHORT,100,Trailing stop hit at $6135.52 (18.0% from low of $5199.59)
2020-03-27 11:00:00,6620.58,ENTER_LONG,65,"Price pulled back to 50 SMA in uptrend, Oversold RSI (38.15) in uptrend, High volume confirmation (1.30x average) (confirmed on 1h/4h)"
2020-03-28 03:00:00,6116.92,EXIT_LONG,100,Trailing stop hit at $6117.38 (8.4% from high of $6676.74)
2020-04-04 20:00:00,6825.67,ENTER_LONG,70,"Price pulled back to 50 SMA in uptrend, High volume confirmation (3.73x average), Price rejection from 20 SMA support, Volatility expansion after contraction (confirmed on 1h/4h)"
2020-04-05 09:00:00,6774.51,EXIT_LONG,90,Bearish MACD divergence detected
2020-04-05 10:00:00,6750.93,ENTER_LONG,65,"Price pulled back to 50 SMA in uptrend, Oversold RSI (32.85) in uptrend, Recent swing low confirmed (confirmed on 1h/4h)"
2020-04-07 07:00:00,7378.08,EXIT_LONG,90,Bearish MACD divergence detected
