entry_time,exit_time,entry_price,exit_price,position,profit_loss,profit_pct,duration_hours,exit_reason,entry_month,exit_month,month_str
2023-07-30 13:00:00,2023-08-01 03:00:00,29287.91,28835.0,SHORT,1128.6809268932825,1.5464060084860949,38.0,RSI reversal from oversold levels (RSI: 18.83),2023-07,2023-08,2023-07
2023-08-01 17:00:00,2023-08-03 04:00:00,28954.01,29136.43,SHORT,-466.0296440250552,-0.6300336291933377,35.0,Bullish MACD divergence detected,2023-08,2023-08,2023-08
2023-08-04 18:00:00,2023-08-05 04:00:00,29062.51,29056.01,SHORT,16.406404374291842,0.022365583702164748,10.0,Bullish MACD divergence detected,2023-08,2023-08,2023-08
2023-08-06 12:00:00,2023-08-10 04:00:00,29033.13,29542.05,SHORT,-1283.5625272181294,-1.7528940214162174,88.0,Bullish MACD divergence detected,2023-08,2023-08,2023-08
2023-08-10 13:00:00,2023-08-17 21:00:00,29680.11,26253.92,LONG,-8288.010514450103,-11.543724063017294,176.0,Trailing stop hit at $27305.70 (8.0% from high of $29680.11),2023-08,2023-08,2023-08
2023-08-19 15:00:00,2023-08-21 15:00:00,26216.01,25939.59,SHORT,668.2056077522624,1.054393860850672,48.0,Bullish MACD divergence detected,2023-08,2023-08,2023-08
2023-08-21 15:00:00,2023-08-22 16:00:00,25939.59,26020.01,SHORT,-198.1522110225641,-0.31002803051242617,25.0,Bullish MACD divergence detected,2023-08,2023-08,2023-08
2023-08-23 11:00:00,2023-08-23 13:00:00,25939.49,26018.22,SHORT,-193.00025283115448,-0.3035140629210503,2.0,Bullish MACD divergence detected,2023-08,2023-08,2023-08
2023-08-26 04:00:00,2023-08-26 08:00:00,26076.0,26041.9,SHORT,82.73741919242414,0.13077159073476968,4.0,Bullish MACD divergence detected,2023-08,2023-08,2023-08
2023-08-26 16:00:00,2023-08-31 17:00:00,26041.93,26329.07,SHORT,-697.1210538896055,-1.1026064504435709,121.0,RSI reversal from oversold levels (RSI: 18.95),2023-08,2023-08,2023-08
